Codigo,Código Barra 1,Código Barra 2,Producto nombre 1,Producto nombre 2,precio por caja,precio por paquete,Categoria,creador
KC1480,6937454003315,,动物派对12色咖色,Set De Maquillaje Cookie Con Sombra de 12 Colores + Brochas,4900.000,5900.000,眼影唇彩套装,
KC1481,6937454003322,,动物派对12色粉色,Set De Maquillaje Macaroon Con Sombra de 12 Colores + Brochas,4900.000,5900.000,眼影套装,
KC1482,6937454003339,,动物派对12色紫色,Set De Maquillaje  Con Sombra de 12 Colores + Brochas,4900.000,5900.000,眼影套装,
KC1526,6937454003780,,萌团小院系列小熊眼影,Paletas de Sombras Cute Pet,1650.000,2000.000,,
KC1299,'6937454001724,,云朵精灵64色纸本粉,Paleta De Sombras Cloud Fairy Bunny De 64 Colores,8800.000,10600.000,眼影,
KC1635,'6937454004879,,云朵精灵64色纸本棕,Paleta De Sombras Cloud Fairy Toast De 64 Colores,8800.000,10600.000,眼影,
KC1634,'6937454004862,,云朵精灵64色纸本紫,Paleta De Sombras Cloud Fairy Star De 64 Colores,8800.000,10600.000,眼影,
KC1446,6937454002974,,巧克力饼干14色眼影盘,Paleta de Sombras de 14 Colores Chocolate Chip Cookies,2300.000,2800.000,眼影,
KC1729,6937454005814,,幻语乐痕系列纸本9色,Paleta de Sombras Serie Amazing Music de 9 Colores,1800.000,2200.000,眼影,
KC1814,6937454006668,,幻语乐痕系列纸本9色,Paleta de Sombras Serie Amazing Music de 9 Colores,1650.000,2000.000,眼影,
KC1816,6937454006682,,幻语乐痕系列纸本12色,Paleta de Sombras Serie Ghost Music de 12 Colores,2000.000,2400.000,眼影,
KC1815,6937454006675,,幻语乐痕系列纸本12色,Paleta de Sombras Serie Ghost Music de 12 Colores,2000.000,2400.000,眼影,
KC1818,6937454006705,,幻语乐痕系列纸本18,Paleta de Sombras Serie Ghost Music de 18 Colores,3590.000,4350.000,眼影,
KC1817,6937454006699,,幻语乐痕系列纸本18,Paleta de Sombras Serie Ghost Music de 18 Colores,3590.000,4350.000,眼影,
B80120,6972857801205,,哑光口红+高光
Silky matte glitter lip stick,Labial Mate Efecto Sedoso con Brillo,850.000,1050.000,口红唇油口红水,
B80121,6972857801212,,草莓口红+唇油   lip stick+vitamin lip oil,Labial + Aceite Labial Vitaminico,950.000,1150.000,口红唇油口红水,
